"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
439,9,9,9,9,6,5,7,9,9,8,9,9,8,9,"Italian","No","Fully employed",NA,"Married","Female","25 to 34","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","5","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
440,9,7,9,7,8,9,9,9,9,9,9,9,9,7,"Spanish","No","Fully employed","Bachelor's degree","Living common law","Male",NA,"$100000 to $149999",0,"No","Strongly Agree","7","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
441,9,8,9,9,7,8,5,8,9,9,9,9,8,6,"Spanish","Yes","Not employed",NA,"Single, never married, not living with a life partner","Female",NA,"$70000 to $79999",0,"No","Strongly Agree","8","Strongly Agree","Strongly Agree","7","8","5","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
442,9,6,9,5,9,9,7,9,9,9,9,9,9,9,"English","No","Employed part-time","University certificate below bachelor level","Separated, not living with a life partner","Female","35 to 44","$50000 to $59999",1,"Yes","Strongly Agree","6","Strongly Agree","5","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
443,7,8,6,6,8,9,8,8,9,7,5,8,6,8,"French","No",NA,"No certificate, diploma or degree","Married","Female","24 or younger","$60000 to $69999",0,"No","7","8","6","6","8","Strongly Agree","8","8","Strongly Agree","7","5","8"
444,9,9,8,8,9,9,9,9,9,9,9,9,9,9,"Spanish","No","Fully employed",NA,"Living common law","Male","75 to 84","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
445,9,6,8,7,8,9,9,9,8,9,9,9,9,8,"English","No","Fully employed","trades certificate","Living common law","Female","55 to 64","$70000 to $79999",1,"Yes","Strongly Agree","6","8","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
446,6,9,8,7,7,6,6,9,6,9,8,8,8,8,"Spanish","No","Employed part-time",NA,"Living common law","Female","75 to 84","$50000 to $59999",1,"Yes","6","Strongly Agree","8","7","7","6","6","Strongly Agree","6","Strongly Agree","8","8"
447,7,4,7,7,9,6,5,6,9,9,8,8,4,6,"English","Yes","Employed part-time","Master's degree","Widowed","Male","65 to 74","Less than $20,000",0,"No","7","4","7","7","Strongly Agree","6","5","6","Strongly Agree","Strongly Agree","8","8"
448,9,9,8,7,8,9,5,7,9,9,9,9,9,9,"English","No","Not employed","Bachelor's degree","Married",NA,"45 to 54","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","8","7","8","Strongly Agree","5","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
449,6,8,3,7,6,5,6,9,7,4,9,9,8,8,NA,"No","Not employed","College diploma","Single, never married, not living with a life partner","Male","75 to 84","$70000 to $79999",0,"No","6","8","3","7","6","5","6","Strongly Agree","7","4","Strongly Agree","Strongly Agree"
450,9,7,8,8,9,6,8,6,9,9,9,9,7,8,NA,NA,"Employed part-time","Master's degree","Living common law","Male","25 to 34","$20000 to $29999",1,"Yes","Strongly Agree","7","8","8","Strongly Agree","6","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
451,9,9,9,9,9,8,9,7,9,9,9,9,9,9,"English","No","Not employed","No certificate, diploma or degree","Married","Female","45 to 54","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
452,6,9,7,6,8,7,4,7,9,4,7,6,4,4,"English","No","Not employed","trades certificate","Married","Male","75 to 84","$40000 to $49999",0,"No","6","Strongly Agree","7","6","8","7","4","7","Strongly Agree","4","7","6"
453,8,9,4,5,7,7,9,9,9,9,9,9,9,6,"Spanish","Yes","Employed part-time","No certificate, diploma or degree","Married","Male","24 or younger","$30000 to $39999",0,"No","8","Strongly Agree","4","5","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
454,8,8,9,9,8,7,4,6,8,6,9,7,7,9,"English","No",NA,NA,"Separated, not living with a life partner","Female",NA,"$100000 to $149999",0,"No","8","8","Strongly Agree","Strongly Agree","8","7","4","6","8","6","Strongly Agree","7"
455,9,9,8,8,9,6,9,6,6,9,9,8,8,9,"English","No","Employed part-time","High school diploma or certificate","Married","Male","45 to 54","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","8","8","Strongly Agree","6","Strongly Agree","6","6","Strongly Agree","Strongly Agree","8"
456,9,6,9,9,6,6,9,9,9,9,7,7,8,7,"English","No","Employed part-time","High school diploma or certificate","Living common law","Female","24 or younger",NA,1,"Yes","Strongly Agree","6","Strongly Agree","Strongly Agree","6","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","7"
457,9,9,4,5,3,4,5,4,9,8,7,9,8,5,"English","Yes","Employed part-time",NA,"Living common law","Female","35 to 44",NA,0,"No","Strongly Agree","Strongly Agree","4","5","3","4","5","4","Strongly Agree","8","7","Strongly Agree"
458,8,9,7,8,9,8,7,8,9,7,8,8,9,5,"English","Yes","Not employed","High school diploma or certificate","Divorced, not living with a life partner","Male","75 to 84",NA,0,"No","8","Strongly Agree","7","8","Strongly Agree","8","7","8","Strongly Agree","7","8","8"
459,8,8,6,8,7,5,6,7,6,7,7,7,8,7,"English","No","Fully employed","High school diploma or certificate","Married","Female","55 to 64","$20000 to $29999",1,"Yes","8","8","6","8","7","5","6","7","6","7","7","7"
460,9,8,4,7,9,9,8,8,9,7,6,9,9,9,"Spanish","No","Fully employed","High school diploma or certificate","Married","Female","55 to 64","$30000 to $39999",0,"No","Strongly Agree","8","4","7","Strongly Agree","Strongly Agree","8","8","Strongly Agree","7","6","Strongly Agree"
461,8,6,9,7,9,8,9,8,9,9,9,9,7,5,"English","No","Employed part-time",NA,"Married","Female","24 or younger","$60000 to $69999",1,"Yes","8","6","Strongly Agree","7","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
462,9,6,9,5,9,9,8,9,9,9,7,9,9,9,"French","Yes","Employed part-time","No certificate, diploma or degree","Married","Female","35 to 44","$20000 to $29999",0,"No","Strongly Agree","6","Strongly Agree","5","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
463,9,5,5,6,5,8,4,7,7,9,9,9,9,7,"French","No","Not employed","No certificate, diploma or degree","Married","Female","75 to 84","$100000 to $149999",0,"No","Strongly Agree","5","5","6","5","8","4","7","7","Strongly Agree","Strongly Agree","Strongly Agree"
464,9,8,6,9,9,9,9,9,9,9,9,9,9,9,"English","No",NA,"College diploma","Living common law","Female","24 or younger","$100000 to $149999",1,"Yes","Strongly Agree","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
465,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"English","No","Fully employed","College diploma","Married","Female","24 or younger","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
466,8,8,7,6,7,9,6,6,9,9,6,5,6,6,"English","Yes","Not employed",NA,"Single, never married, not living with a life partner","Male","65 to 74","$30000 to $39999",1,"Yes","8","8","7","6","7","Strongly Agree","6","6","Strongly Agree","Strongly Agree","6","5"
467,8,8,5,5,9,9,9,9,9,9,9,9,9,7,"French","No","Not employed","Master's degree","Single, never married, not living with a life partner","Male","45 to 54","$30000 to $39999",0,"No","8","8","5","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
468,9,8,8,9,5,5,8,7,9,9,9,9,9,6,NA,"No","Not employed","High school diploma or certificate","Married","Female","65 to 74","$40000 to $49999",1,"Yes","Strongly Agree","8","8","Strongly Agree","5","5","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
469,9,4,6,6,7,7,8,9,9,9,9,9,9,7,"English","No","Fully employed","Bachelor's degree","Single, never married, not living with a life partner",NA,NA,"$50000 to $59999",1,"Yes","Strongly Agree","4","6","6","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
470,9,9,7,7,8,9,8,8,9,9,9,7,9,8,"English","No","Not employed","Master's degree","Married","Female","25 to 34","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","7","7","8","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","7"
471,8,3,4,8,8,6,6,5,7,8,9,9,9,4,"English","No","Employed part-time","Master's degree","Living common law","Female","55 to 64","$30000 to $39999",0,"No","8","3","4","8","8","6","6","5","7","8","Strongly Agree","Strongly Agree"
472,8,9,7,8,9,9,9,9,8,7,9,9,9,9,"English","Yes","Fully employed","Bachelor's degree","Living common law","Male","55 to 64","$50000 to $59999",1,"Yes","8","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree"
473,7,6,7,6,6,7,8,9,9,9,7,8,7,5,"English","Yes","Not employed","No certificate, diploma or degree","Married","Male","65 to 74","$50000 to $59999",0,"No","7","6","7","6","6","7","8","Strongly Agree","Strongly Agree","Strongly Agree","7","8"
474,9,8,9,8,7,6,9,6,5,8,9,6,9,9,"English",NA,"Employed part-time","Bachelor's degree","Married","Female","75 to 84","$30000 to $39999",1,"Yes","Strongly Agree","8","Strongly Agree","8","7","6","Strongly Agree","6","5","8","Strongly Agree","6"
475,9,9,9,7,9,9,9,9,9,9,8,9,9,8,"Spanish","Yes","Not employed","High school diploma or certificate","Living common law","Female","45 to 54","$70000 to $79999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
476,9,5,3,6,9,7,6,9,8,9,8,9,5,7,"Spanish","No","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Male","35 to 44","$30000 to $39999",0,"No","Strongly Agree","5","3","6","Strongly Agree","7","6","Strongly Agree","8","Strongly Agree","8","Strongly Agree"
477,9,9,9,8,9,9,9,9,8,9,9,9,9,9,"English","No","Employed part-time","Bachelor's degree","Separated, not living with a life partner","Male",NA,"$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
478,9,8,8,7,9,9,9,8,9,9,9,9,9,8,NA,"No",NA,"Earned doctorate","Divorced, not living with a life partner","Female","55 to 64","$200,000 or more",1,"Yes","Strongly Agree","8","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
479,9,9,9,8,9,9,9,9,9,9,9,9,8,8,"English","No","Fully employed","High school diploma or certificate","Living common law","Female","35 to 44","$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
480,9,8,9,9,9,7,8,7,9,9,9,9,9,8,"English","No",NA,"High school diploma or certificate","Single, never married, not living with a life partner","Male","65 to 74","$40000 to $49999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
481,9,9,8,9,9,9,9,9,9,9,9,9,9,9,"English","No","Fully employed","No certificate, diploma or degree","Living common law","Male","24 or younger","$20000 to $29999",0,"No","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
482,9,7,9,6,7,8,6,6,9,9,7,7,8,9,"Italian","No","Fully employed","High school diploma or certificate","Divorced, not living with a life partner","Male",NA,"$20000 to $29999",1,"Yes","Strongly Agree","7","Strongly Agree","6","7","8","6","6","Strongly Agree","Strongly Agree","7","7"
483,7,7,7,4,9,9,8,9,9,9,8,9,9,9,"English","No","Not employed","Bachelor's degree","Living common law","Female",NA,"$200,000 or more",1,"Yes","7","7","7","4","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
484,8,9,9,8,9,7,9,8,9,8,9,9,7,6,"Spanish","No","Not employed","High school diploma or certificate","Single, never married, not living with a life partner",NA,"45 to 54","Less than $20,000",0,"No","8","Strongly Agree","Strongly Agree","8","Strongly Agree","7","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree"
485,9,8,8,9,8,9,9,7,8,9,9,7,9,7,"French","No","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Female","24 or younger","$30000 to $39999",1,"Yes","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","7"
486,9,9,9,8,9,8,8,9,9,9,9,9,9,8,"English","No","Fully employed","College diploma","Separated, not living with a life partner","Female",NA,NA,1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
487,8,6,6,6,9,9,8,9,9,8,9,9,9,6,"Spanish","No",NA,"Bachelor's degree",NA,"Male","45 to 54","$50000 to $59999",1,"Yes","8","6","6","6","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree"
488,9,8,9,9,9,6,7,6,9,9,9,9,9,7,"English","No","Fully employed","No certificate, diploma or degree","Married","Male","75 to 84","$80000 to $89999",1,"Yes","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","6","7","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
489,7,9,9,8,6,8,5,8,8,9,9,9,9,5,"English","No","Fully employed","No certificate, diploma or degree","Married","Female","65 to 74","$20000 to $29999",1,"Yes","7","Strongly Agree","Strongly Agree","8","6","8","5","8","8","Strongly Agree","Strongly Agree","Strongly Agree"
490,9,9,8,7,8,7,8,8,9,9,8,9,8,7,"English","No","Employed part-time","No certificate, diploma or degree","Married","Female","35 to 44","Less than $20,000",0,"No","Strongly Agree","Strongly Agree","8","7","8","7","8","8","Strongly Agree","Strongly Agree","8","Strongly Agree"
491,9,6,6,8,9,9,7,9,9,9,9,9,9,8,"Spanish","Yes","Not employed",NA,"Single, never married, not living with a life partner","Female","55 to 64","$50000 to $59999",0,"No","Strongly Agree","6","6","8","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
492,8,9,6,7,8,8,8,7,9,9,8,8,9,9,"English","No","Not employed","High school diploma or certificate","Single, never married, not living with a life partner","Female","24 or younger","$50000 to $59999",1,"Yes","8","Strongly Agree","6","7","8","8","8","7","Strongly Agree","Strongly Agree","8","8"
493,7,4,8,8,9,9,7,8,9,9,9,9,9,6,"Italian","No","Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","85 to 94","$30000 to $39999",0,"No","7","4","8","8","Strongly Agree","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
494,9,7,9,5,6,7,4,7,5,4,4,6,7,7,"Spanish","No","Employed part-time","College diploma","Married","Female","24 or younger","$20000 to $29999",0,"No","Strongly Agree","7","Strongly Agree","5","6","7","4","7","5","4","4","6"
495,9,9,8,7,9,7,7,7,9,9,9,9,9,7,NA,"No",NA,"College diploma","Separated, not living with a life partner","Male","55 to 64","Less than $20,000",1,"Yes","Strongly Agree","Strongly Agree","8","7","Strongly Agree","7","7","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
496,9,9,9,8,9,8,9,9,9,9,9,9,9,9,"English","No","Not employed","No certificate, diploma or degree",NA,"Male",NA,"$20000 to $29999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
497,9,6,6,4,6,6,3,5,8,8,9,8,6,6,"Spanish","No","Not employed","College diploma","Living common law","Female","45 to 54","$70000 to $79999",0,"No","Strongly Agree","6","6","4","6","6","3","5","8","8","Strongly Agree","8"
498,9,8,6,7,9,9,9,9,9,9,7,9,9,7,"English","No","Employed part-time","No certificate, diploma or degree","Living common law",NA,"75 to 84","$40000 to $49999",1,"Yes","Strongly Agree","8","6","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
499,9,9,6,7,9,9,9,8,9,8,9,8,9,8,"English","No","Employed part-time","trades certificate","Married","Male","24 or younger","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","6","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","8"
500,9,9,9,8,7,9,9,9,8,9,9,8,9,8,"French","No","Fully employed","No certificate, diploma or degree","Single, never married, not living with a life partner","Female","75 to 84","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8"
